n	pca1	pca2
1	100	0
2	100	0
3	99.9145	0.0855118
4	99.8799	0.120133
5	99.9144	0.0856423
6	99.9507	0.0492846
7	99.7835	0.21648
8	99.8427	0.157333
9	99.863	0.136975
10	99.8214	0.178562
11	99.796	0.203981
12	99.903	0.097027
13	99.8937	0.10634
14	99.9035	0.0965248
15	99.9007	0.0992739
16	99.8864	0.113577
17	99.9523	0.0476564
18	99.9043	0.0956833
19	99.8925	0.107468
20	99.9282	0.0718366
21	99.9727	0.0272628
22	99.9696	0.0303636
23	99.9156	0.0844107
24	99.9576	0.0423558
25	99.9661	0.0339423
26	99.976	0.0239736
27	99.9758	0.0242486
28	99.8157	0.184266
29	99.9093	0.090661
30	99.8512	0.148825
31	99.0509	0.949106
32	99.9082	0.0917909
33	99.8904	0.109565
34	99.8822	0.117751
35	99.8839	0.116117
36	99.8864	0.113609
37	99.8267	0.173316
38	99.9018	0.0982297
39	99.955	0.0450399
40	99.7953	0.204749
41	99.9571	0.0428796
42	99.948	0.0520416
43	99.7704	0.229568
44	99.8387	0.161276
45	99.8936	0.106417
46	99.8584	0.14156
47	99.7586	0.241386
48	99.8129	0.187119
49	99.9157	0.084328
50	99.9335	0.0664541
51	99.9289	0.0711167
52	99.9445	0.0555195
53	99.9121	0.0879362
54	99.9324	0.067647
55	99.9348	0.0651572
56	99.9341	0.0659461
57	99.9075	0.0924624
58	99.8105	0.189472
59	99.9012	0.0988288
60	99.9675	0.0325255
61	99.9778	0.0221894
62	99.9399	0.060094
63	99.9853	0.0146611
64	99.9915	0.00854113
65	99.9796	0.0204311
66	99.9705	0.0294861
67	99.9718	0.0282073
68	99.9746	0.0253879
69	99.9541	0.0458537
70	99.9753	0.0246851
71	99.9827	0.0172914
72	99.9533	0.0466535
73	99.9266	0.0733945
74	99.8839	0.11614
75	99.9373	0.0626552
76	99.5196	0.480417
77	99.7207	0.279255
78	99.9605	0.0395011
79	99.8742	0.125783
80	99.8231	0.176909
81	98.9547	1.0453
82	99.5962	0.403756
83	99.9064	0.0935838
84	99.953	0.0470161
85	99.9734	0.0266259
86	99.9687	0.0312686
87	99.9607	0.0393068
88	99.9612	0.038822
89	99.9571	0.0429367
90	99.8899	0.110113
91	99.9292	0.0708201
92	99.924	0.0760054
93	99.9369	0.0631226
94	99.9495	0.0505024
95	99.5111	0.488879
96	99.6138	0.386204
97	99.6071	0.392911
98	99.6702	0.329806
99	99.785	0.215035
100	99.7584	0.241554
101	99.7787	0.221301
102	99.6605	0.339514
103	99.6553	0.344681
104	99.8149	0.185137
105	99.5955	0.404507
106	99.7049	0.295147
107	99.9757	0.0243377
108	99.9725	0.0274608
109	99.8906	0.109421
110	99.8962	0.103806
111	99.9185	0.0814924
112	99.9484	0.0516113
113	99.9799	0.0200925
114	99.9834	0.0166255
115	99.9734	0.0266493
116	99.9796	0.0203636
117	99.9708	0.0291541
118	99.9661	0.0338901
