n	pca1	pca2
1	100	0
2	99.6547	0.345288
3	98.9354	1.06456
4	99.7093	0.290697
5	99.5938	0.406211
6	99.4318	0.568233
7	99.5999	0.400071
8	99.5236	0.476394
9	99.8477	0.152308
10	99.3493	0.650693
11	99.3699	0.630067
12	99.6079	0.392121
13	99.502	0.497952
14	99.8019	0.198127
15	98.3593	1.64066
16	99.4568	0.543171
17	99.7016	0.298355
18	99.6835	0.316488
19	99.9037	0.0962918
20	99.6573	0.342715
21	99.1887	0.81131
22	99.8053	0.194685
23	99.3977	0.602268
24	99.0719	0.928117
25	99.6225	0.377503
26	99.4333	0.566699
27	99.7083	0.29166
28	99.2863	0.713665
29	99.726	0.273979
30	99.5179	0.482101
31	99.6517	0.348285
32	99.4826	0.517392
33	99.7026	0.297359
34	98.7931	1.2069
35	98.9326	1.06743
36	99.6173	0.382738
37	99.3972	0.602805
38	99.6786	0.321418
39	99.7784	0.221579
40	98.768	1.23195
41	99.4045	0.595494
42	98.942	1.05799
43	98.5559	1.44406
44	99.0814	0.91865
45	99.1456	0.854358
46	99.6349	0.365114
47	99.7158	0.284217
48	98.9718	1.02819
49	99.6856	0.314368
50	99.5717	0.428252
51	99.2951	0.704932
52	99.8682	0.131754
53	98.4454	1.55463
54	99.7547	0.245311
55	99.4534	0.546594
56	99.766	0.233983
57	99.3238	0.676249
58	99.3801	0.619861
59	99.4354	0.564561
60	98.2642	1.73577
61	99.7068	0.293214
62	97.8318	2.16816
63	99.5879	0.412112
64	98.1951	1.8049
65	99.7091	0.290949
66	99.8762	0.123823
67	99.6726	0.32735
68	99.7344	0.265633
69	99.6181	0.381874
70	99.8697	0.130252
71	99.6896	0.310416
72	99.8112	0.188827
73	99.1912	0.808767
74	99.7278	0.272154
75	99.7493	0.250704
76	99.4748	0.525192
77	97.9981	2.00187
78	98.934	1.066
79	99.3776	0.622418
80	98.5512	1.44885
81	99.9027	0.0972547
82	99.8425	0.157517
83	99.8954	0.104574
84	99.9462	0.0538013
85	99.8148	0.185182
86	99.5077	0.492308
87	99.1745	0.825546
88	99.908	0.0920017
89	99.7318	0.268229
90	99.3812	0.618831
91	99.8631	0.136924
92	99.9018	0.0982014
93	99.9235	0.0765212
94	99.8952	0.104832
95	99.8676	0.132417
96	99.9281	0.0719106
97	99.4066	0.593393
98	99.7899	0.210124
99	99.2335	0.766544
100	99.4712	0.528783
101	99.6719	0.328148
102	99.7221	0.277902
103	99.8002	0.199832
104	99.9225	0.0774601
105	99.9053	0.094652
106	99.9694	0.0306379
